域,宗门名称,规模,位置,主要人物,已有人设角色,简介,理念,是否有主线剧情,主线剧情简介
万兽大陆,回澜府,大宗,镜汀泽国主湖深处，岸上设接待水阁。,鲤闻漪（女·合体后期·府主，驻镜汀泽国回澜府。） / 龟玄砚（男·返虚后期·治水院长老，驻分汊台。） / 鳝流素（女·化神初期·巡流院弟子，驻镜汀南汊。）,鲤闻漪 / 龟玄砚 / 鳝流素,鲤、鲶、鳝、龟、蚌、虾蟹等水族组成，支府分布湖汊，水鸟与两栖妖修也可参与水务传承。,各安其汊，百水相通。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,群潮庭,大宗,潮生内海的珊屏礁与长歌深槽之间；临虚事务通过岸上庭署处理。,鲸沧弦（女·合体后期·轮值庭主，驻潮生列湾群潮庭。） / 鲛绡汐（女·返虚中期·礁工院首座，驻珊屏工台。） / 章绣流（女·化神中期·礁工院装配师，往来潮生港与珊屏工台。） / 溟照夜（男·大乘中期·群潮庭长歌馆旧师，居潮生内海长歌深槽，无凡国职位。）,鲸沧弦 / 鲛绡汐 / 章绣流 / 溟照夜,鲸、鲛、鲨、鳐、章鱼、海蚌与礁鱼诸族共议，主要族群拥有各自水域与传承，并设跨族师承。,海有深浅，归途共守。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,澄珠宫,大宗,珠阙城外高礁山，设内外水庭和沿坡分院；大陆四大宗之一。,澜照珩（女·合体中期·澄珠宫宫主） / 绯砚汐（女·返虚初期·澄珠宫营造司执事） / 珠听弦（女·化神初期·澄珠宫声律馆教习）,澜照珩 / 绯砚汐 / 珠听弦,主驻明珠珊庭的多族道统，鱼人弟子众多；主张“清其水，安其居”，兼重水法、医养与城市营造，不以美貌或歌术决定入门资格。,主驻明珠珊庭的多族道统，鱼人弟子众多；主张“清其水，安其居”，兼重水法、医养与城市营造，不以美貌或歌术决定入门资格。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,回流天院,大宗,中央环枢城上方、固定于岩岭的多层院庭；多处驿站有分院。,溯环真（女·合体后期·回流天院院主） / 鲸弦泊（女·返虚中期·回流天院救援庭首座） / 环逐澈（女·化神中期·回流天院航图房校图师）,溯环真 / 鲸弦泊 / 环逐澈,由海岭观流、潜航和护路传承结成，强调“通路不独占，行险须知责”。,由海岭观流、潜航和护路传承结成，强调“通路不独占，行险须知责”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,赤炉山,大宗,赤烟海脊稳定旧火山内外坡；有露水晾材与干作分场，但主体山门在水下。,赤珩砺（女·合体中期·赤炉山山主） / 石温砚（女·返虚中期·赤炉山勘脊司首席） / 墨焰缨（女·化神中期·赤炉山隔水炉坊教习）,赤珩砺 / 石温砚 / 墨焰缨,海底火山营造与炼器道统，“器成须可用，迁城须有人归”；名称中的山指海底山体，不是内陆山门。,海底火山营造与炼器道统，“器成须可用，迁城须有人归”；名称中的山指海底山体，不是内陆山门。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,照渊书宫,大宗,幽灯城盆壁岩台，多层书庭与训练水域相连；四大宗之一。,渊照蘅（女·合体中期·照渊书宫宫主） / 墨层岚（女·返虚中期·照渊书宫层卷院院正） / 灯澈幽（女·化神中期·照渊书宫护压院教习）,渊照蘅 / 墨层岚 / 灯澈幽,深水功法、档案保存与感知之学的道统，主张“有光可读，无光亦可知”；不是只藏书不修行的世俗学馆。,深水功法、档案保存与感知之学的道统，主张“有光可读，无光亦可知”；不是只藏书不修行的世俗学馆。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,青绡苑,中宗,青绡林海绡根城外固定根台，中型，分设季节苗圃。,绡涵碧（女·合体初期·青绡苑苑主） / 鳗疏影（女·返虚初期·青绡苑病害坊主） / 叶漪纺（女·化神初期·青绡苑织养庭教习）,绡涵碧 / 鳗疏影 / 叶漪纺,由海草培育、藻纤维与水木传承发展，认为“留下一季，才算收获”；接纳耕养居民的弟子而不垄断所有田地。,由海草培育、藻纤维与水木传承发展，认为“留下一季，才算收获”；接纳耕养居民的弟子而不垄断所有田地。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,寒灯台,中宗,寒镜长暖谷上方岩脊，中型，多处通息井有轮值站。,镜寒舒（女·合体初期·寒灯台台主） / 豹温绒（女·返虚初期·寒灯台暖泉医舍主持） / 冰弦澄（女·化神初期·寒灯台冰况房观测师）,镜寒舒 / 豹温绒 / 冰弦澄,冰下护航与寒水传承，“灯可熄，归路不可弃”；兼顾永久居民与迁游族群。,冰下护航与寒水传承，“灯可熄，归路不可弃”；兼顾永久居民与迁游族群。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,育海谷,中宗,初生海床温苗城外温和坡谷，中型，保护点分散而非整区封闭。,苗澄溯（女·合体初期·育海谷谷主） / 螺纹知（女·返虚中期·育海谷地层馆馆主） / 温序苔（女·化神初期·育海谷育苗院教习）,苗澄溯 / 螺纹知 / 温序苔,以古生态、育养与生命变化研究见长，“知其来，亦护其生”；反对将起源研究等同无限制活体试验。,以古生态、育养与生命变化研究见长，“知其来，亦护其生”；反对将起源研究等同无限制活体试验。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,听泉院,中宗,生海之庭北缘安全台地，近栖泉集，中型；核心观台按条件轮值。,泉知白（女·合体初期·听泉院院主） / 晶听素（女·返虚中期·听泉院校器廊主持） / 泉晚笛（女·化神初期·听泉院巡标庭领队）,泉知白 / 晶听素 / 泉晚笛,专注泉庭观测、水文与安全通行，“记所见，不以愿望代证据”；不宣称拥有创造海水的传承。,专注泉庭观测、水文与安全通行，“记所见，不以愿望代证据”；不宣称拥有创造海水的传承。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
沧溟大陆,垂天阁,中宗,双阙港的水下基座与外缘高崖，中型；水中山门与空港分阁连通。,潮接星（女·合体初期·垂天阁阁主） / 龟衡岫（女·返虚中期·垂天阁升潮工坊主持） / 羽巡潮（女·化神初期·垂天阁飞舟教所教习）,潮接星 / 龟衡岫 / 羽巡潮,连接水港与虚空航行的道统，“两界接舷，不失一客”；本地海族主导，外来修士可学习合适技艺。,连接水港与虚空航行的道统，“两界接舷，不失一客”；本地海族主导，外来修士可学习合适技艺。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,观岳道院,大宗,灵界-太初大陆-承川盆地，承都北侧稳定山麓；叠岳设源山别院。,郁见山（女·大乘初期·观岳道院院主，常居承川盆地观岳台，负责重大护境决策与长期记录的保存。） / 邵留霜（女·合体初期·观岳道院源山别院院正，问源关上方别院。） / 陆砚生（男·化神初期·观岳道院古法阁校图弟子，承川盆地。） / 云绻（女·化神初期·源山别院协作观测者，问源关与悬泉栈附近活动。）,郁见山 / 陆砚生 / 邵留霜 / 云绻,由山川观察、地方古法和阵道传承逐渐汇合的道院，保存大陆最连续的地脉与水文记录。,察其所然，慎动其本。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,负岳庭,大宗,灵界-太初大陆-赤屏高原-赤阶城上方宽阔崖台。,岳照棠（女·合体中期·负岳庭现任庭主，赤阶城上方崖台。） / 祝玄岑（女·大乘初期·负岳庭退任庭主、山川共约守约前辈，常居赤屏歇肩台。） / 段绣岩（女·元婴中期·负岳庭护具坊匠师，赤屏百索桥附近作坊；属于宗门，不任城官。）,祝玄岑 / 岳照棠 / 段绣岩,起于山地守路、护寨和炼体传承的宗门，巫族影响深厚，长期接纳人族和妖族弟子。,力有所当，诺有所尽。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,濡生谷,中宗,灵界-太初大陆-青嶂雨林-青井镇上游泉谷。,林漱泉（女·合体初期·濡生谷谷主，青井镇上游分泉圃。） / 岑汀兰（女·返虚初期·濡生谷药舟舍负责人，常驻长苇药舟；属于宗门体系。） / 泠芽（女·元婴初期·濡生谷巡泉队成员，青井镇泉路；无世俗官职。） / 荷照（女·元婴中期·濡生谷协作育种者，归鸟汀附近的莲塘，无世俗官职。）,林漱泉 / 泠芽 / 岑汀兰 / 荷照,依托泉谷药圃与多族诊疗发展的医修宗门，善于区分地域、种族与生活条件造成的药性差异。,辨其所需，养其所生。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,养火宗,中宗,灵界-太初大陆-温黎火谷-陶都北坡。,容照陶（女·合体中期·养火宗宗主，陶都北坡养火台。） / 釉眠（女·化神初期·养火宗共修廊契约合作者，本源为一座可移动陶炉。）,容照陶 / 釉眠,以炉鼎、陶质法器、阵砖与实用器具见长的生产宗门，重视对地火的持续养护与精细使用。,火有其候，器适其用。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,听澜宗,大宗,灵界-太初大陆-白汀内海-照盐城外石岬。,闻汀雪（女·合体中期·听澜宗宗主，照盐城外听澜石岬。） / 白渚绫（女·化神中期·听澜宗护舟堂领航修士，白汀内海；不属于城盟军官。）,闻汀雪 / 白渚绫,由白汀古老行舟与水中修行传承发展的大宗，兼顾内海护航、河道安全与水势研究。,识其来去，留人归路。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
太初大陆,万程院,中宗,灵界-太初大陆-大风原-归泉城外；各主要商路设驿舍，潮根埠设航务堂。,顾归遥（女·合体初期·万程院院主，归泉城外归程院，定期在各驿院轮住。） / 程逐泉（男·元婴初期·万程院勘路堂弟子，大风原沿线驿舍；非部盟官员。）,顾归遥 / 程逐泉,以长期游历、实地修行和沿途授业相连的宗门，各地驿院依共同门规维持联系。,行有所见，归有所传。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
